A
MYPA003	Bunyip	Swamp Thing	Paleontology	Paleontology Mythic Cards	Mythic	Standard	
4	45	2020					
Return	Cible	player deck	Album	Paleontology			
	Effet	cost	-2				
	Duree	Round	1				
Return	Condition	turn score	<	0			
	Cible	player deck	Album	Paleontology			
	Effet	cost	-1				
	Duree	Round	1				

MYPA002	Loch Ness Monster	Loch In	Paleontology	Paleontology Mythic Cards	Mythic	Standard	
8	50	2020	Monster Name				
Return	Cible	Opponent remaining					
	Effet	lock					
	Duree	turn	2				

MYPA001	Unicorn	Straight to the Point	Paleontology	Paleontology Mythic Cards	Mythic	Standard	
7	77	2020					
Draw	Cible	self					
	Effet	power	77				
	Duree	turn	1				

PAN045	American Cheetah	Former Felidae	Paleontology	Ancient Creatures	Rare	Limited	
6	50						
Play	Condition	player deck	Collection	Cool Cats	>	3	
	Cible	player hand	Collection	Ancient Creatures			
	Effet	power	20				
	Duree	until played					

PAN003	Archaeopteryx	Bridge the Evolutionary Gap	Paleontology	Ancient Creatures	Epic	Limited	
6	45	2020					
Play	Cible	player deck	Collection	Ancient Creatures			
	Effet	power	18				
	Duree	until played					
Play	Cible	player deck	Collection	Birds			
	Effet	power	18				
	Duree	until played					

PAN024	Arsinoitherium	Around the Horns	Paleontology	Ancient Creatures	Epic	Limited	
7	40						
Draw	Cible	player hand					
	Filtre	random	1				
	Effet	power	46				
	Duree	until played					
Return	Cible	player hand					
	Filtre	random	1				
	Effet	power	46				
	Duree	until played					

PAN041	Beelzebufo	Frog Outta Hell	Paleontology	Ancient Creatures	Legendary	Limited	
6	67						
Draw	Cible	player deck	Collection	Ancient Creatures			
	Effet	power	3				
	Multiplicateur	player deck	Collection	Amphibians			
	Duree	until played					
Draw	Cible	player deck	Collection	Amphibians			
	Effet	power	3				
	Multiplicateur	player deck	Collection	Ancient Creatures			
	Duree	until played					

PAN018	Carbonemys Cofrinii	Prehistoric Giant Turtle	Paleontology	Ancient Creatures	Rare	Limited	
2	18						
Play	Cible	player hand	Collection	Ocean Reptiles			
	Effet	power	15				
	Duree	1	turn				
Play	Condition	round score	<	0			
	Cible	player hand	Collection	Ocean Reptiles			
	Effet	power	10				
	Duree	1	turn				

PAN054	Cartorhynchus	Sudden Diversification	Paleontology	Ancient Creatures	Rare	Limited	
8	68						
Play	Condition	Round	2				
	Acible	player deck	Album	Paleontology			
	Effet	power	12				
	Duree	until played					
Play	Condition	Round	4				
	Acible	player deck	Album	Paleontology			
	Effet	power	12				
	Duree	until played					

PAN062	Collin's Monster	Super Armor!	Paleontology	Ancient Creatures	Rare	Limited	
2	11	Monster Name					
Play	Condition	voisin	gauche	album	paleontology		
	Condition	voisin	droite	album	paleontology		
	Cible	self					
	Effet	power	20				
	Duree	turn	1				

PAN046	Confractosuchus	Broken Dinosaur Killer	Paleontology	Ancient Creatures	Legendary	Limited	
8	70						
Draw	Cible	player hand	Album	Paleontology			
	Filtre	other					
	Effet	cost	2				
	Duree	turn	2				
Draw	Cible	self					
	Effet	power	20				
	Multiplicateur	player hand	Album	Paleontology			
	Duree	until played					

PAN020	Deinotherium	Never Forget	Paleontology	Ancient Creatures	Legendary	Limited	
7	78						
Return	Cible	player deck	Name	Elephant Seal			
	Cible	player deck	Name	Elephant's Trunk Nebula			
	Cible	player deck	Name	African Elephant			
	Effet	power	30				
	Duree	until played					

PAN028	Devil's Toenails	From the Deep	Paleontology	Ancient Creatures	Rare	Limited	
4	36	Devil					
Play	Condition	voisin	next to	Name	Ammonite		
	Cible	player hand	Name	Ammonite			
	Effet	power	36				
	Duree	1	turn				
Play	Condition	voisin	next to	Name	Trilobite		
	Cible	player hand	Name	Trilobite			
	Effet	power	36				
	Duree	1	turn				
Return	Condition						
	Cible	player remaining	Collection	Deep Ocean			
	Effet	cost	-1				
	Duree	until played					

PAN059	Diictodon	Burrow Stealing	Paleontology	Ancient Creatures	Rare	Limited	
5	50						
Play	Condition	player deck	Collection	Going Underground	=	3	
	Cible	player deck	Collection	Ancient Creatures			
	Effet	power	20				
	Duree	Round	1				

PAN023	Dinopithecus	Going Ape	Paleontology	Ancient Creatures	Rare	Limited	
5	54						
Draw	Cible	player hand	Collection	Primates			
	Effet	power	27				
	Duree	turn	1				
Play	Condition	turn	=	1			
	Cible	player hand	Collection	Primates			
	Effet	power	14				
	Duree	turn	1				

PAN049	Diprotodon	Combat Wombat	Paleontology	Ancient Creatures	Rare	Limited	
5	55						
Play	Cible	player hand	collection	Marsupials			
	Filtre	base_cost	>	4			
	Effet	power	25				
	Duree	until played					

PAN008	Dunkleosteus		Paleontology	Ancient Creatures	Common	Limited	
5	49	2020					

PAN001	Elasmotherium	CRASH!	Paleontology	Ancient Creatures	Common	Limited	
7	66	2020					
Play	Cible	player hand	Name	Southern White Rhinoceros			
	Effet	power	40				
	Duree	turn	1				

PAN010	Gastornis		Paleontology	Ancient Creatures	Common	Limited	
3	27	2020					

PAN014	Glyptodon	Heavy Shell	Paleontology	Ancient Creatures	Common	Limited	
2	19	2020					
Play	Cible	player hand	Collection	Ancient Creatures			
	Effet	power	20				
	Duree	turn	1				

PAN011	Gorgonopsids		Paleontology	Ancient Creatures	Common	Limited	
5	46	2020					

PAN004	Hallucigenia		Paleontology	Ancient Creatures	Common	Limited	
1	8	2020					

PAN063	Halszkaraptor	Sink or Swim	Paleontology	Ancient Creatures	Common	Limited	
3	22						
Draw	Condition	round score	<	0			
	Cible	self					
	Effet	power	40				
	Duree	turn	1				

PAN039	Hesperocyon	Canidae to Canid	Paleontology	Ancient Creatures	Rare	Limited	
4	37						
Draw	Cible	self					
	Effet	power	8				
	Multiplicateur	player played	Collection	dogs	5		
	Duree	until played					

PAN052	Hesperosuchus	Crocodylomorph	Paleontology	Ancient Creatures	Common	Limited	
3	21						
Play	Cible	player deck	keyword	Crocodile			
	Effet	power	25				
	Duree	turn	2				

PAN026	Hyaenodon	Laughing Matter	Paleontology	Ancient Creatures	Legendary	Limited	
3	37						
Return	Condition	turn score	>	0			
	Cible	player deck					
	Effet	power	10				
	Duree	until played					
Return	Condition	turn score	>	0			
	Cible	opponent deck					
	Effet	power	-5				
	Duree	permanently					

PAN058	Inostrancevia	Proto-Mammal	Paleontology	Ancient Creatures	Rare	Limited	
4	25						
Draw	Cible	player hand	Collection	Ancient Creatures			
	Effet	cost	-1				
	Duree	turn	2				
Play	Condition	player deck	Name	Teeth			
	Cible	self					
	Effet	power	60				
	Duree	turn	1				

PAN035	Langstonia	Teeth Bared	Paleontology	Ancient Creatures	Legendary	Limited	
7	54						
Play	Cible	player deck	Collection	Ancient Creatures			
	Effet	power	18				
	Duree	until played					
Return	Cible	player deck	Collection	Ancient Creatures			
	Effet	cost	-1				
	Duree	until played					

PAN037	Litorosuchus	Semi-Aquatic	Paleontology	Ancient Creatures	Rare	Limited	
6	46						
Return	Condition	player deck	Album	Life on Land	>	5	
	Cible	player deck	Album	Oceans and Seas			
	Effet	power	16				
	Duree	until played					

PAN036	Longisquama	Long Scales	Paleontology	Ancient Creatures	Common	Limited	
5	44						
Draw	Cible	player deck	Album	Ancient Creatures			
	Effet	power	5				
	Multiplicateur	round completed					
	Duree	turn	3				

PAN017	Mastodon	Tuskmaster	Paleontology	Ancient Creatures	Epic	Limited	
5	48	2020					
Return	Cible	player deck	Name	Woolly Mammoth			
	Effet	cost	-2				
	Duree	until played					

PAN016	Megacerops	To Be Blunt	Paleontology	Ancient Creatures	Rare	Limited	
3	27	Mega Paleontology					
Play	Condition	round score	<	0			
	Cible	player deck	Collection	Ancient Creatures			
	Effet	power	20				
	Duree	until played					

PAN005	Megalodon	Daddy Shark	Paleontology	Ancient Creatures	Rare	Limited	
6	48	Mega Paleontology	2020				
Play	Cible	player hand	Collection	Sharks!			
	Effet	power	15				
	Duree	turn	1				

PAN033	Meganeura	Impressive Wingspan	Paleontology	Ancient Creatures	Epic	Limited	
6	55	Mega Paleontology					
Play	Cible	player deck	Collection	Fearsome Flyers			
	Filtre	base_cost	>	6			
	Effet	power	24				
	Duree	until played					
Play	Cible	player deck	Collection	Bugs			
	Filtre	base_cost	>	6			
	Effet	power	24				
	Duree	until played					

PAN007	Megatherium	Ancestoral Aid	Paleontology	Ancient Creatures	Common	Limited	
4	34	Mega Paleontology	2020				
Play	Condition						
	Cible	player hand	Name	Amazon Sloth			
	Effet	power	20				
	Duree	turn	1				

PAN002	Mosasaurus	Oceanic Ancestor	Paleontology	Ancient Creatures	Common	Limited	
6	53	2020					
Play	Cible	player hand	Collection	Ocean Mammals			
	Effet	power	30				
	Duree	turn	1				

PAN048	Murrayglossus	Giant Echidna	Paleontology	Ancient Creatures	Rare	Limited	
6	46						
Draw	Cible	player deck	Collection	Mammals			
	Filtre	base_cost	>	5			
	Effet	power	20				
	Duree	turn	4				

PAN009	Opabinia		Paleontology	Ancient Creatures	Common	Limited	
8	72	2020					

PAN057	Pakicetus	The First Whale	Paleontology	Ancient Creatures	Epic	Limited	
6	50						
Draw	Cible	player deck	Collection	Ancient Creatures			
	Effet	cost	-1				
	Duree	until played					
Return	Cible	self					
	Effet	power	-10				
	Duree	permanently					
Return	Cible	self					
	Effet	cost	-1				
	Duree	permanently					

PAN006	Paraceratherium		Paleontology	Ancient Creatures	Common	Limited	
7	69	2020					

PAN025	Platybelodon	Shovelhead	Paleontology	Ancient Creatures	Rare	Limited	
3	32						
Draw	Cible	player deck	Collection	Herbivores			
	Effet	power	15				
	Duree	until played					
Play	Condition						
	Cible	player hand	Name	Bonnethead Shark			
	Effet	power	30				
	Duree	turn	1				

PAN038	Protictitherium	First Striking Beast	Paleontology	Ancient Creatures	Epic	Limited	
5	22						
Play	Condition	turn	1				
	Cible	player hand	Album	Paleontology			
	Effet	power	25				
	Duree	turn	1				

PAN030	Purgatorius	Primate Progenitor	Paleontology	Ancient Creatures	Epic	Limited	
6	57						
Play	Cible	player hand	Collection	Primates			
	Effet	power	23				
	Duree	until played					

PAN034	Purussaurus	Ancient Alligator	Paleontology	Ancient Creatures	Epic	Limited	
7	56						
Play	Cible	player deck	Collection	Ocean Reptiles			
	Effet	power	21				
	Duree	until played					

PAN056	Simosuchus	Short Skull	Paleontology	Ancient Creatures	Rare	Limited	
4	30						
Play	Cible	player deck	Album	Paleontology			
	Filtre	base_cost	<	5			
	Effet	power	20				
	Duree	2					

PAN012	Smilodon	Pounce!	Paleontology	Ancient Creatures	Legendary	Limited	
7	65	2020					
Play	Cible	player hand	Collection	Cool Cats			
	Effet	power	40				
	Duree	until played					

PAN043	Synthetoceras	Y so Serious?	Paleontology	Ancient Creatures	Rare	Limited	
3	30						
Play	Cible	opponent hand	Album	Paleontology			
	Effet	power	-25				
	Duree	turn	1				

PAN061	Tanystropheus	Looooooooong	Paleontology	Ancient Creatures	Common	Limited	
8	80						
Play	Condition	Round	=	5			
	Cible	self					
	Effet	power	60				
	Duree	turn	1				

PAN021	Thylacosmilus	Chin Up	Paleontology	Ancient Creatures	Epic	Limited	
6	43						
Draw	Cible	player deck	Collection	Ancient Creatures			
	Effet	cost	-2				
	Duree	until played					

